Country,X2000,X2005,X2010,X2015,X2020,Region,Income
"Iran, Islamic Rep.",..,..,1.9,..,4.9,Middle East and North Africa,Upper middle income
Iraq,48.5,..,..,..,..,Middle East and North Africa,Upper middle income
Ireland,1.6,1.3,0.7,0.3,0.6,Europe and Central Asia,High income
Isle of Man,..,..,..,..,..,Europe and Central Asia,High income
Israel,0.9,2.1,1.9,2.1,3.3,Middle East and North Africa,High income
Italy,0.1,0.4,0.1,1,1.2,Europe and Central Asia,High income
Jamaica,19.1,9.8,..,10.4,..,Latin America and Caribbean,Upper middle income
Japan,..,..,..,0,0,East Asia and Pacific,High income
Jordan,16.1,14.8,..,..,4.9,Middle East and North Africa,Lower middle income
Kazakhstan,1.8,1.9,1.3,1.3,3.1,Europe and Central Asia,Upper middle income
Kenya,11.2,2.5,..,..,..,Sub-Saharan Africa,Lower middle income
Kiribati,..,..,..,..,..,East Asia and Pacific,Lower middle income
"Korea, Dem. People's Rep.",..,..,..,..,..,East Asia and Pacific,Low income
"Korea, Rep.",1,2.2,0.1,2.6,2.1,East Asia and Pacific,High income
Kosovo,..,..,..,..,..,Europe and Central Asia,Upper middle income
Kuwait,12.5,..,2.5,9.3,..,Middle East and North Africa,High income
Kyrgyz Republic,..,14.4,9,8.8,5.6,Europe and Central Asia,Lower middle income
Lao PDR,29.7,25.5,26.2,20.1,30.4,East Asia and Pacific,Lower middle income
Latvia,..,..,0.8,1.9,1.7,Europe and Central Asia,High income
Lebanon,..,..,..,..,..,Middle East and North Africa,Lower middle income
Lesotho,25,12.5,13.2,17,23.6,Sub-Saharan Africa,Lower middle income
Liberia,..,..,..,..,40.1,Sub-Saharan Africa,Low income
Libya,..,..,..,..,..,Middle East and North Africa,Upper middle income
Liechtenstein,..,..,5.8,4.3,2.7,Europe and Central Asia,High income
Lithuania,0.2,0.2,0.8,4.9,0.4,Europe and Central Asia,High income
Luxembourg,4,6.3,3.8,4.2,4.4,Europe and Central Asia,High income
"Macao SAR, China",12.6,11.7,14.7,9.1,12.1,East Asia and Pacific,High income
Madagascar,..,..,27.7,24.6,33.1,Sub-Saharan Africa,Low income
Malawi,..,26.9,..,21.2,18.9,Sub-Saharan Africa,Low income
Malaysia,2.4,11.6,9.7,14.1,17.2,East Asia and Pacific,Upper middle income
Maldives,7.6,..,6.2,17.9,4.2,South Asia,Upper middle income
Mali,..,..,53.1,47.7,..,Sub-Saharan Africa,Low income
Malta,..,..,..,0.3,1.3,Europe and Central Asia,High income
Marshall Islands,..,..,..,6.6,..,East Asia and Pacific,Upper middle income
Mauritania,..,53.3,..,..,..,Sub-Saharan Africa,Lower middle income
Mauritius,14.5,..,..,9.2,9.2,Sub-Saharan Africa,Upper middle income
Mexico,16.9,8.3,7.2,1.8,7.6,Latin America and Caribbean,Upper middle income
"Micronesia, Fed. Sts.",..,..,..,..,23.2,East Asia and Pacific,Lower middle income
Moldova,..,..,..,0,0.8,Europe and Central Asia,Upper middle income
Monaco,..,..,..,..,..,Europe and Central Asia,High income
Mongolia,24.1,4.2,..,..,6,East Asia and Pacific,Upper middle income
Montenegro,..,..,..,4.7,0.7,Europe and Central Asia,Upper middle income
Morocco,43,31,23.9,..,9.2,Middle East and North Africa,Lower middle income
Mozambique,54.8,42.4,33.1,40.7,34.3,Sub-Saharan Africa,Low income
Myanmar,53.7,43.6,35.6,..,..,East Asia and Pacific,Lower middle income
Namibia,10.3,11.4,..,1.9,0.4,Sub-Saharan Africa,Upper middle income
Nauru,..,..,..,..,..,East Asia and Pacific,High income
Nepal,..,..,..,..,..,South Asia,Lower middle income
Netherlands,..,2.1,0.3,0.3,0.4,Europe and Central Asia,High income
New Caledonia,..,..,..,..,..,East Asia and Pacific,High income
New Zealand,..,..,..,2.4,1.4,East Asia and Pacific,High income
Nicaragua,34,24.9,19.1,..,..,Latin America and Caribbean,Lower middle income
Niger,..,82.9,79.5,67.8,..,Sub-Saharan Africa,Low income
Nigeria,..,..,..,..,..,Sub-Saharan Africa,Lower middle income
North Macedonia,..,3.9,..,..,..,Europe and Central Asia,Upper middle income
Northern Mariana Islands,..,..,..,..,..,East Asia and Pacific,High income
Norway,0.7,1.2,0,0.2,0.5,Europe and Central Asia,High income
Oman,17,..,..,0.2,12.4,Middle East and North Africa,High income
Pakistan,..,..,..,..,..,South Asia,Lower middle income
Palau,..,..,..,..,19.5,East Asia and Pacific,High income
Panama,21.2,18.9,8.5,8.9,..,Latin America and Caribbean,High income
Papua New Guinea,..,..,..,..,..,East Asia and Pacific,Lower middle income
Paraguay,..,9.2,5.6,..,15.9,Latin America and Caribbean,Upper middle income
Peru,7.5,5.8,1.6,..,5.8,Latin America and Caribbean,Upper middle income
Philippines,..,8.5,..,8.1,12.8,East Asia and Pacific,Lower middle income
Poland,2,1.5,2.6,4.2,4.4,Europe and Central Asia,High income
Portugal,..,0.4,..,0.3,0.3,Europe and Central Asia,High income
Puerto Rico,..,..,..,6,..,Latin America and Caribbean,High income
Qatar,..,10,1.2,6.7,2.2,Middle East and North Africa,High income
Romania,3.2,19,5.4,8.6,..,Europe and Central Asia,High income
Russian Federation,..,..,..,6,0.4,Europe and Central Asia,High income
Rwanda,..,..,..,..,..,Sub-Saharan Africa,Low income
Samoa,5,..,2.1,3.7,0.4,East Asia and Pacific,Lower middle income
San Marino,4.3,..,..,..,6.9,Europe and Central Asia,High income
Sao Tome and Principe,..,15.2,16.1,8.9,..,Sub-Saharan Africa,Lower middle income
Saudi Arabia,..,..,..,3,0.8,Middle East and North Africa,High income
Senegal,..,53.4,..,..,..,Sub-Saharan Africa,Lower middle income
Serbia,..,..,0.7,0.6,2.3,Europe and Central Asia,Upper middle income
Seychelles,..,..,..,..,..,Sub-Saharan Africa,High income
Sierra Leone,..,..,..,43.2,26.8,Sub-Saharan Africa,Low income
Singapore,..,..,..,..,0.9,East Asia and Pacific,High income
Sint Maarten (Dutch part),..,..,..,..,..,Latin America and Caribbean,High income
Slovak Republic,..,1,2.2,4.1,4.6,Europe and Central Asia,High income
Slovenia,2,2.5,2.3,2.4,1.1,Europe and Central Asia,High income
Solomon Islands,..,..,..,..,17.8,East Asia and Pacific,Lower middle income
Somalia,..,..,..,..,..,Sub-Saharan Africa,Low income
South Africa,18.9,18.5,..,..,5.6,Sub-Saharan Africa,Upper middle income
South Sudan,..,..,..,57.9,..,Sub-Saharan Africa,Low income
Spain,0.1,0.4,0.3,2.9,2.9,Europe and Central Asia,High income
Sri Lanka,..,..,9.1,5.4,..,South Asia,Lower middle income
St. Kitts and Nevis,..,1,..,..,..,Latin America and Caribbean,High income
St. Lucia,11.1,14.7,7.8,8.4,13.1,Latin America and Caribbean,Upper middle income
St. Martin (French part),..,..,..,..,..,Latin America and Caribbean,High income
St. Vincent and the Grenadines,4.9,..,3.5,..,2.5,Latin America and Caribbean,Upper middle income
Sudan,..,..,..,..,..,Sub-Saharan Africa,Low income
Suriname,..,..,23.1,21.1,..,Latin America and Caribbean,Upper middle income
Sweden,0.5,0.6,2.8,0.8,0.6,Europe and Central Asia,High income
Switzerland,1.8,1.3,..,0.1,0.2,Europe and Central Asia,High income
Syrian Arab Republic,38.9,12.6,8.8,..,51.6,Middle East and North Africa,Low income
Tajikistan,18.9,8.9,5.5,..,..,Europe and Central Asia,Lower middle income
Tanzania,..,..,..,..,..,Sub-Saharan Africa,Lower middle income
Thailand,..,..,..,..,5.7,East Asia and Pacific,Upper middle income
Timor-Leste,..,..,18.8,12.9,12.9,East Asia and Pacific,Lower middle income
Togo,38.9,34.7,..,..,..,Sub-Saharan Africa,Low income
Tonga,..,..,..,4.4,8.4,East Asia and Pacific,Upper middle income
Trinidad and Tobago,..,..,..,..,..,Latin America and Caribbean,High income
Tunisia,..,..,..,..,..,Middle East and North Africa,Lower middle income
Turkiye,9.4,4.1,1.7,0.7,0.1,Europe and Central Asia,Upper middle income
Turkmenistan,..,..,..,..,..,Europe and Central Asia,Upper middle income
Turks and Caicos Islands,6.9,..,..,20.4,13.2,Latin America and Caribbean,High income
Tuvalu,..,..,..,17.5,17.5,East Asia and Pacific,Upper middle income
Uganda,..,..,..,48.1,..,Sub-Saharan Africa,Low income
Ukraine,..,4.2,2.6,8.2,11.4,Europe and Central Asia,Upper middle income
United Arab Emirates,..,..,..,..,19.7,Middle East and North Africa,High income
United Kingdom,0.8,0.1,0,1.5,1.2,Europe and Central Asia,High income
United States,..,..,..,..,0.2,North America,High income
Uruguay,..,..,..,1.5,2.2,Latin America and Caribbean,High income
Uzbekistan,..,..,4.6,5.9,3.7,Europe and Central Asia,Lower middle income
Vanuatu,22.4,..,..,4.5,19.8,East Asia and Pacific,Lower middle income
"Venezuela, RB",24.4,13.6,9.6,10.2,..,Latin America and Caribbean,Upper middle income
Viet Nam,16,..,..,11.2,1.3,East Asia and Pacific,Lower middle income
Virgin Islands (U.S.),..,..,..,..,..,Latin America and Caribbean,High income
West Bank and Gaza,19.1,6.9,9.5,9,4.8,Middle East and North Africa,Lower middle income
"Yemen, Rep.",..,..,43.4,..,..,Middle East and North Africa,Low income
Zambia,..,..,..,..,..,Sub-Saharan Africa,Lower middle income
Zimbabwe,12.3,..,..,..,..,Sub-Saharan Africa,Lower middle income
