Country,X2000,X2005,X2010,X2015,X2020,Region,Income
Burkina Faso,..,78.7,51.3,42.8,50.7,Sub-Saharan Africa,Low income
Burundi,..,..,23.7,33.8,36.4,Sub-Saharan Africa,Low income
Cabo Verde,..,5,11.8,14.9,16.4,Sub-Saharan Africa,Lower middle income
Cambodia,81.5,68.6,1.5,12.3,17.1,East Asia and Pacific,Lower middle income
Cameroon,..,..,..,30.5,45.8,Sub-Saharan Africa,Lower middle income
Canada,..,..,..,..,..,North America,High income
Cayman Islands,3.9,..,..,..,..,Latin America and Caribbean,High income
Central African Republic,..,..,..,..,..,Sub-Saharan Africa,Low income
Chad,60.2,..,..,51.7,..,Sub-Saharan Africa,Low income
Channel Islands,..,..,..,..,..,Europe and Central Asia,High income
Chile,..,..,2.6,3.1,1.5,Latin America and Caribbean,High income
China,..,..,..,..,..,East Asia and Pacific,Upper middle income
Colombia,..,10.7,3.3,5.2,3.2,Latin America and Caribbean,Upper middle income
Comoros,..,..,..,..,..,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",..,..,..,..,..,Sub-Saharan Africa,Low income
"Congo, Rep.",..,..,..,..,..,Sub-Saharan Africa,Lower middle income
Costa Rica,..,..,..,9.4,8.6,Latin America and Caribbean,Upper middle income
Cote d'Ivoire,..,..,..,47.3,42.3,Sub-Saharan Africa,Lower middle income
Croatia,..,..,..,..,..,Europe and Central Asia,High income
Cuba,2.9,2.4,3.7,5.4,7.6,Latin America and Caribbean,Upper middle income
Curacao,..,..,..,..,..,Latin America and Caribbean,High income
Cyprus,4.4,..,4.1,1.8,..,Europe and Central Asia,High income
Czechia,..,..,..,0.4,2,Europe and Central Asia,High income
Denmark,2.3,0.6,1.3,0.8,0.5,Europe and Central Asia,High income
Djibouti,..,..,..,..,..,Middle East and North Africa,Lower middle income
Dominica,..,..,..,4.8,15.6,Latin America and Caribbean,Upper middle income
Dominican Republic,16.3,7.7,6.5,..,8.9,Latin America and Caribbean,Upper middle income
Ecuador,29.2,26.4,13.4,4.1,8.5,Latin America and Caribbean,Upper middle income
"Egypt, Arab Rep.",..,..,..,..,9.6,Middle East and North Africa,Lower middle income
El Salvador,15.9,3.2,..,14.3,23.1,Latin America and Caribbean,Upper middle income
Equatorial Guinea,..,..,..,..,..,Sub-Saharan Africa,Upper middle income
Eritrea,25.9,21.5,34.5,37.1,..,Sub-Saharan Africa,Low income
Estonia,..,..,..,2.2,2.1,Europe and Central Asia,High income
Eswatini,..,..,8,..,..,Sub-Saharan Africa,Lower middle income
Ethiopia,56.4,43.1,39.5,45.3,..,Sub-Saharan Africa,Low income
Faroe Islands,..,..,..,..,..,Europe and Central Asia,High income
Fiji,12,..,..,..,..,East Asia and Pacific,Upper middle income
Finland,0.6,0.6,0.9,1.1,1.5,Europe and Central Asia,High income
France,5.6,1,0.5,2.1,0.1,Europe and Central Asia,High income
French Polynesia,..,..,..,..,..,East Asia and Pacific,High income
Gabon,..,..,..,..,..,Sub-Saharan Africa,Upper middle income
"Gambia, The",..,..,34.8,36,32.5,Sub-Saharan Africa,Low income
Georgia,..,5.5,..,..,..,Europe and Central Asia,Upper middle income
Germany,..,1.3,1.6,1.3,1.7,Europe and Central Asia,High income
Ghana,38.3,21.8,..,11.7,14,Sub-Saharan Africa,Lower middle income
Gibraltar,..,..,..,..,..,Europe and Central Asia,High income
Greece,1.8,9,..,2.6,3.4,Europe and Central Asia,High income
Greenland,..,..,..,..,..,Europe and Central Asia,High income
Grenada,..,7.8,..,..,..,Latin America and Caribbean,Upper middle income
Guam,..,..,..,..,..,East Asia and Pacific,High income
Guatemala,38.6,..,14.6,23,30.4,Latin America and Caribbean,Upper middle income
Guinea,..,45.9,42.5,45.2,45.3,Sub-Saharan Africa,Lower middle income
Guinea-Bissau,42.2,..,..,..,..,Sub-Saharan Africa,Low income
Guyana,..,..,..,..,18.7,Latin America and Caribbean,High income
Haiti,..,..,..,..,..,Latin America and Caribbean,Lower middle income
Honduras,..,..,..,40,46.4,Latin America and Caribbean,Lower middle income
"Hong Kong SAR, China",..,6.9,3.3,..,2.1,East Asia and Pacific,High income
Hungary,2.7,..,0.3,2.5,4.4,Europe and Central Asia,High income
Iceland,0.5,0.5,0.8,0.6,1.1,Europe and Central Asia,High income
India,..,..,..,..,12,South Asia,Lower middle income
Indonesia,..,21.1,16.8,..,..,East Asia and Pacific,Upper middle income
"Iran, Islamic Rep.",..,..,..,..,3.5,Middle East and North Africa,Upper middle income
Iraq,37.3,..,..,..,..,Middle East and North Africa,Upper middle income
Ireland,..,..,..,..,..,Europe and Central Asia,High income
Isle of Man,..,..,..,..,..,Europe and Central Asia,High income
Israel,0.4,1.8,1.6,1.7,3.1,Middle East and North Africa,High income
Italy,..,..,..,0.9,1.1,Europe and Central Asia,High income
Jamaica,20.6,10.3,..,12.8,..,Latin America and Caribbean,Upper middle income
Japan,..,..,..,..,..,East Asia and Pacific,High income
Jordan,17.4,16.5,..,..,5.5,Middle East and North Africa,Lower middle income
Kazakhstan,1.6,..,..,1.7,2.7,Europe and Central Asia,Upper middle income
Kenya,12.1,0.5,..,..,..,Sub-Saharan Africa,Lower middle income
Kiribati,..,..,..,..,..,East Asia and Pacific,Lower middle income
"Korea, Dem. People's Rep.",..,..,..,..,..,East Asia and Pacific,Low income
"Korea, Rep.",1.8,2.6,..,2.5,2,East Asia and Pacific,High income
Kosovo,..,..,..,..,..,Europe and Central Asia,Upper middle income
Kuwait,11.5,..,4.7,11.8,..,Middle East and North Africa,High income
Kyrgyz Republic,..,13.7,8.7,7.6,4.4,Europe and Central Asia,Lower middle income
Lao PDR,22.3,20.9,22.2,19,30.4,East Asia and Pacific,Lower middle income
Latvia,..,..,0.8,2.1,2.1,Europe and Central Asia,High income
Lebanon,..,..,..,..,..,Middle East and North Africa,Lower middle income
Lesotho,30.7,16.3,17.6,20.5,26.7,Sub-Saharan Africa,Lower middle income
Liberia,..,..,..,..,40.8,Sub-Saharan Africa,Low income
Libya,..,..,..,..,..,Middle East and North Africa,Upper middle income
Liechtenstein,..,..,3,1.7,1.9,Europe and Central Asia,High income
Lithuania,..,..,0.9,5,..,Europe and Central Asia,High income
Luxembourg,5.6,7.9,5.2,5.5,4.7,Europe and Central Asia,High income
"Macao SAR, China",12.3,11.6,15.1,10.3,13.6,East Asia and Pacific,High income
Madagascar,..,..,26.7,24.9,34.5,Sub-Saharan Africa,Low income
Malawi,..,22.2,..,19.5,20.1,Sub-Saharan Africa,Low income
Malaysia,4.7,12.8,11,16.3,18.4,East Asia and Pacific,Upper middle income
Maldives,10,..,9.8,15.9,7.1,South Asia,Upper middle income
Mali,..,..,45.3,44.7,..,Sub-Saharan Africa,Low income
Malta,..,..,..,..,1.1,Europe and Central Asia,High income
Marshall Islands,..,..,..,7.5,..,East Asia and Pacific,Upper middle income
Mauritania,..,53,..,..,..,Sub-Saharan Africa,Lower middle income
Mauritius,15.9,..,..,10,10.4,Sub-Saharan Africa,Upper middle income
Mexico,15.1,7.9,7.5,2.2,8.8,Latin America and Caribbean,Upper middle income
"Micronesia, Fed. Sts.",..,..,..,..,23.4,East Asia and Pacific,Lower middle income
Moldova,..,..,..,..,..,Europe and Central Asia,Upper middle income
Monaco,..,..,..,..,..,Europe and Central Asia,High income
Mongolia,29.6,7.5,..,..,7.1,East Asia and Pacific,Upper middle income
Montenegro,..,..,..,4.9,0.6,Europe and Central Asia,Upper middle income
Morocco,35.6,25.7,18.9,..,7.4,Middle East and North Africa,Lower middle income
Mozambique,44.6,33.3,26.5,36.7,31.2,Sub-Saharan Africa,Low income
Myanmar,54.4,43.9,37.7,..,..,East Asia and Pacific,Lower middle income
Namibia,12.6,13,..,2.1,..,Sub-Saharan Africa,Upper middle income
Nauru,..,..,..,..,..,East Asia and Pacific,High income
Nepal,..,..,..,..,..,South Asia,Lower middle income
Netherlands,..,2.6,..,0.4,0.5,Europe and Central Asia,High income
New Caledonia,..,..,..,..,..,East Asia and Pacific,High income
New Zealand,..,..,..,2.5,1.5,East Asia and Pacific,High income
Nicaragua,36.7,25.6,19,..,..,Latin America and Caribbean,Lower middle income
Niger,..,79.9,76.5,63.3,..,Sub-Saharan Africa,Low income
Nigeria,..,..,..,..,..,Sub-Saharan Africa,Lower middle income
North Macedonia,..,3.9,..,..,..,Europe and Central Asia,Upper middle income
Northern Mariana Islands,..,..,..,..,..,East Asia and Pacific,High income
Norway,1.1,1.5,..,0.3,0.4,Europe and Central Asia,High income
Oman,16.1,..,..,..,12.6,Middle East and North Africa,High income
Pakistan,..,..,..,..,..,South Asia,Lower middle income
Palau,..,..,..,..,6,East Asia and Pacific,High income
Panama,20.9,19.1,8.7,9.4,..,Latin America and Caribbean,High income
Papua New Guinea,..,..,..,..,..,East Asia and Pacific,Lower middle income
Paraguay,..,8.8,5.7,..,16.2,Latin America and Caribbean,Upper middle income
Peru,5.9,4.5,..,..,5.8,Latin America and Caribbean,Upper middle income
Philippines,..,10.7,..,9.8,15.6,East Asia and Pacific,Lower middle income
Poland,..,1.5,2.6,4.2,4.5,Europe and Central Asia,High income
Portugal,..,..,..,0.4,..,Europe and Central Asia,High income
Puerto Rico,..,..,..,7.8,..,Latin America and Caribbean,High income
Qatar,..,..,..,7.8,2.2,Middle East and North Africa,High income
Romania,3.2,18.9,5.2,8.3,..,Europe and Central Asia,High income
Russian Federation,..,..,..,7,..,Europe and Central Asia,High income
Rwanda,..,..,..,..,..,Sub-Saharan Africa,Low income
Samoa,..,..,..,3,..,East Asia and Pacific,Lower middle income
San Marino,..,..,..,..,8.2,Europe and Central Asia,High income
Sao Tome and Principe,..,15.1,15.2,10,..,Sub-Saharan Africa,Lower middle income
Saudi Arabia,..,..,..,..,..,Middle East and North Africa,High income
Senegal,..,49.3,..,..,..,Sub-Saharan Africa,Lower middle income
Serbia,..,..,0.5,0.7,2.6,Europe and Central Asia,Upper middle income
Seychelles,..,..,..,..,..,Sub-Saharan Africa,High income
Sierra Leone,..,..,..,43.6,28.5,Sub-Saharan Africa,Low income
Singapore,..,..,..,..,0.8,East Asia and Pacific,High income
Sint Maarten (Dutch part),..,..,..,..,..,Latin America and Caribbean,High income
Slovak Republic,..,0.8,2.3,4.2,4.8,Europe and Central Asia,High income
Slovenia,3.8,2.3,2.5,2.6,1.2,Europe and Central Asia,High income
Solomon Islands,..,..,..,..,18,East Asia and Pacific,Lower middle income
Somalia,..,..,..,..,..,Sub-Saharan Africa,Low income
South Africa,19.1,19.5,..,..,7.5,Sub-Saharan Africa,Upper middle income
South Sudan,..,..,..,51.3,..,Sub-Saharan Africa,Low income
Spain,..,..,..,3,3.2,Europe and Central Asia,High income
Sri Lanka,..,..,9.5,6.1,..,South Asia,Lower middle income
St. Kitts and Nevis,..,..,..,..,..,Latin America and Caribbean,High income
St. Lucia,14.3,21,8,..,13.5,Latin America and Caribbean,Upper middle income
St. Martin (French part),..,..,..,..,..,Latin America and Caribbean,High income
St. Vincent and the Grenadines,..,..,3.3,..,..,Latin America and Caribbean,Upper middle income
Sudan,..,..,..,..,..,Sub-Saharan Africa,Low income
Suriname,..,..,22.3,22.7,..,Latin America and Caribbean,Upper middle income
Sweden,..,..,3.2,0.7,0.5,Europe and Central Asia,High income
Switzerland,2.4,1.5,..,0.2,0.2,Europe and Central Asia,High income
Syrian Arab Republic,35.1,9.7,7.8,..,53.1,Middle East and North Africa,Low income
Tajikistan,12.7,1.7,0.1,..,..,Europe and Central Asia,Lower middle income
Tanzania,..,..,..,..,..,Sub-Saharan Africa,Lower middle income
Thailand,..,..,..,..,7.4,East Asia and Pacific,Upper middle income
Timor-Leste,..,..,19.2,13.9,16.9,East Asia and Pacific,Lower middle income
Togo,..,22.5,..,..,..,Sub-Saharan Africa,Low income
Tonga,..,..,..,..,13,East Asia and Pacific,Upper middle income
Trinidad and Tobago,..,..,..,..,..,Latin America and Caribbean,High income
Tunisia,..,..,..,..,..,Middle East and North Africa,Lower middle income
Turkiye,1.5,..,1,0.6,..,Europe and Central Asia,Upper middle income
Turkmenistan,..,..,..,..,..,Europe and Central Asia,Upper middle income
Turks and Caicos Islands,..,..,..,15.2,..,Latin America and Caribbean,High income
Tuvalu,..,..,..,24.8,17.9,East Asia and Pacific,Upper middle income
Uganda,..,..,..,47.3,..,Sub-Saharan Africa,Low income
Ukraine,..,..,2.7,8.8,12,Europe and Central Asia,Upper middle income
United Arab Emirates,..,..,..,..,19.3,Middle East and North Africa,High income
United Kingdom,0.8,..,..,1.5,1.3,Europe and Central Asia,High income
United States,..,..,..,..,..,North America,High income
Uruguay,..,..,..,2.1,3.2,Latin America and Caribbean,High income
Uzbekistan,..,..,4.5,5.7,3.5,Europe and Central Asia,Lower middle income
Vanuatu,24.9,..,..,2.5,20.8,East Asia and Pacific,Lower middle income
"Venezuela, RB",26.2,15.7,11.2,11.7,..,Latin America and Caribbean,Upper middle income
Viet Nam,..,..,..,12.5,..,East Asia and Pacific,Lower middle income
Virgin Islands (U.S.),..,..,..,..,..,Latin America and Caribbean,High income
West Bank and Gaza,20.2,7.2,9.7,9.4,5.4,Middle East and North Africa,Lower middle income
"Yemen, Rep.",..,..,33,..,..,Middle East and North Africa,Low income
Zambia,..,..,..,..,..,Sub-Saharan Africa,Lower middle income
Zimbabwe,4,..,..,..,..,Sub-Saharan Africa,Lower middle income
